folder,file,extent
0,0,"-164.855079333, -44.4711788889, 171.068946667, 53.9548613514"
1,11,"104.116796364, -1.62990571429, 157.765694, 74.516665"
1,10,"100.266665, -73.142915, 163.08904, -3.32069"
1,13,"-99.3987535714, 20.0413853333, -85.0175792857, 67.35097"
1,12,"-20.625, 35.6754533333, 24.512415, 79.34408"
1,14,"-171.155276667, -14.11778, -155.653905, 20.132975"
1,1,"18.0, 5.81508714286, 52.538195, 60.43803"
1,0,"-93.5018075, -10.0341366667, -59.7801522222, 28.398774"
1,3,"-123.144678571, 27.202382, -105.28055625, 50.84775625"
1,2,"-110.066666667, -71.2444433333, -39.4098983333, -14.80654"
1,5,"-84.05105125, 32.3353709091, -50.33214, 76.3337833333"
1,4,"-34.90855, -7.052725, 10.9827, 28.33023"
1,7,"167.208335, -77.675, 177.237885, -17.113395"
1,6,"-174.27097, 45.6827671429, -114.661533333, 67.517915"
1,9,"65.400552, -8.0, 97.4871, 57.42615"
1,8,"0.1055975, -79.5732375, 74.8815966667, -1.118456"
1,11,"104.116796364, -1.62990571429, 157.765694, 74.516665"
1,10,"100.266665, -73.142915, 163.08904, -3.32069"
1,13,"-99.3987535714, 20.0413853333, -85.0175792857, 67.35097"
1,12,"-20.625, 35.6754533333, 24.512415, 79.34408"
1,14,"-171.155276667, -14.11778, -155.653905, 20.132975"
1,1,"18.0, 5.81508714286, 52.538195, 60.43803"
1,0,"-93.5018075, -10.0341366667, -59.7801522222, 28.398774"
1,3,"-123.144678571, 27.202382, -105.28055625, 50.84775625"
1,2,"-110.066666667, -71.2444433333, -39.4098983333, -14.80654"
1,5,"-84.05105125, 32.3353709091, -50.33214, 76.3337833333"
1,4,"-34.90855, -7.052725, 10.9827, 28.33023"
1,7,"167.208335, -77.675, 177.237885, -17.113395"
1,6,"-174.27097, 45.6827671429, -114.661533333, 67.517915"
1,9,"65.400552, -8.0, 97.4871, 57.42615"
1,8,"0.1055975, -79.5732375, 74.8815966667, -1.118456"
2,9_4,"72.79963, 36.97303, 72.79963, 36.97303"
2,9_2,"64.07216, 34.18764, 64.07216, 34.18764"
2,1_7,"28.38867, 51.72703, 28.38867, 51.72703"
2,1_6,"52.33333, 36.25, 52.33333, 36.25"
2,1_5,"22.9353, 40.6356, 22.9353, 40.6356"
2,1_4,"35.0, 39.0, 35.0, 39.0"
2,1_3,"32.7, 10.0, 32.7, 10.0"
2,13_14,"-94.326475, 33.272805, -91.66968, 35.50873"
2,1_1,"52.7377, 27.3796, 52.7377, 27.3796"
2,1_0,"43.93667, 42.39972, 43.93667, 42.39972"
2,0_6,"-82.5001, 28.75054, -82.5001, 28.75054"
2,0_7,"-81.92967, 24.55191, -80.146435, 27.114725"
